Name;Platform;Year;Genre;Publisher;NA_Sales;EU_Sales;JP_Sales;Other_Sales
Macross Ultimate Frontier;PSP;2009.00;Action;Namco Bandai Games;0;0;0.17;0
Battlebots: Design & Destroy;GBA;2003.00;Action;Majesco Entertainment;0.31;0.12;0;0.01
Card Fight!! Vanguard G: Stride to Victory!!;3DS;2016.00;Misc;FuRyu;0;0;0.04;0
Ice Age 2: The Meltdown;XB;2006.00;Platform;Vivendi Games;0.07;0.02;0;0
PopStar Guitar;Wii;2008.00;Misc;Midway Games;0.03;0.03;0;0.01
Night Wizard the Video Game: Denial of the World;PS2;2008.00;Adventure;5pb;0;0;0.02;0
Elite Beat Agents;DS;2006.00;Misc;Nintendo;0.31;0.03;0;0.03
Bust-A-Move '99;PS;1997.00;Puzzle;Acclaim Entertainment;0.18;0.12;0;0.02
Shaun White Snowboarding: World Stage;Wii;2009.00;Sports;Ubisoft;0.25;0.04;0;0.02
Eternal Poison;PS2;2008.00;Role-Playing;Banpresto;0.07;0.05;0;0.02
Pro Evolution Soccer 2015;X360;2014.00;Sports;Konami Digital Entertainment;0.05;0.1;0;0.01
Grudge Warriors;PS;1999.00;Action;Take-Two Interactive;0.23;0.16;0;0.03
College Hoops 2K7;PS3;2007.00;Sports;Take-Two Interactive;0.16;0;0;0.01
Runaway: A Twist of Fate;PC;2009.00;Adventure;Focus Home Interactive;0;0.04;0;0.01
Wipeout: The Game;Wii;2009.00;Misc;Mindscape;1.97;0;0;0.12
Adventure Time: Finn & Jake Investigations;3DS;2015.00;Action;Little Orbit;0.02;0.05;0;0.01
LEGO Marvel's Avengers;X360;2016.00;Action;Warner Bros. Interactive Entertainment;0.17;0.15;0;0.03
Hidden Mysteries: Vampire Secrets;DS;2010.00;Adventure;Astragon;0.06;0.11;0;0.02
Winter Sports 2: The Next Challenge;Wii;2008.00;Sports;RTL;0.18;0.19;0;0.04
Soccer Tsuku: Pro Soccer Club o Tsukurou!;PS3;2013.00;Sports;Sega;0;0;0.13;0
Elebits: The Adventures of Kai and Zero;DS;2008.00;Adventure;Konami Digital Entertainment;0.07;0;0;0.01
Nitroplus Blasterz: Heroines Infinite Duel;PS3;2015.00;Fighting;Nitroplus;0;0;0.01;0
Riding Stables: The Whitakers present Milton and Friends;3DS;2011.00;Sports;DTP Entertainment;0;0.04;0;0
TimeSplitters 2;GC;2002.00;Shooter;Eidos Interactive;0.34;0.09;0;0.01
World Series of Poker;XB;2005.00;Misc;Activision;0.19;0.05;0;0.01
Praetorians;PC;2003.00;Strategy;Eidos Interactive;0;0.04;0;0
Warhawk;PS;1995.00;Simulation;Sony Computer Entertainment;0.25;0.17;0;0.03
I Love Horses: Rider's Paradise;Wii;2010.00;Simulation;Destineer;0.02;0;0;0
Tom Clancy's Ghost Recon;XB;2002.00;Shooter;Ubisoft;1.23;0.46;0;0.07
Dancing on Ice;Wii;2010.00;Sports;Ghostlight;0;0.09;0;0.01
Tom Clancy's Splinter Cell 3D;3DS;2011.00;Action;Ubisoft;0.14;0.07;0.07;0.02
Samurai Shodown III;NG;1995.00;Fighting;SNK;0;0;0.08;0
Fantastic 4: Flame On;GBA;2005.00;Action;Activision;0.2;0.08;0;0.01
Yumi's Odd Odyssey;3DS;2013.00;Platform;Agatsuma Entertainment;0;0;0.03;0
Derby Stallion 96;SNES;1996.00;Sports;ASCII Entertainment;0;0;1.04;0.01
Brutal Legend;X360;2009.00;Action;Electronic Arts;0.62;0.27;0;0.09
Zone of the Enders;PS2;2001.00;Shooter;Konami Digital Entertainment;0.3;0.24;0.13;0.08
Wrestle Kingdom 2: Pro Wrestling Sekai Taisen;PS2;2007.00;Fighting;Yuke's;0;0;0.02;0
Top Gun: Hard Lock;PS3;2012.00;Action;505 Games;0;0.03;0;0.01
Active Life: Extreme Challenge;Wii;2009.00;Sports;Namco Bandai Games;0.15;0.27;0;0.06
Grandia II;PS2;2002.00;Role-Playing;Ubisoft;0.14;0.11;0;0.04
Disney Sing It: Pop Hits;PS3;2009.00;Misc;Disney Interactive Studios;0.17;0.05;0;0.03
MotoGP '07;X360;2007.00;Racing;THQ;0.23;0;0;0.02
Keystone Kapers;2600;1982.00;Action;Activision;0.62;0.04;0;0.01
Cool Boarders 4;PS;1998.00;Sports;989 Studios;0.65;0.44;0;0.08
Tom Clancy's Rainbow Six: Rogue Spear;PS;2001.00;Shooter;Ubisoft;0.13;0.09;0;0.02
Dead or Alive Xtreme 2;X360;2006.00;Sports;Tecmo Koei;0.15;0.03;0.06;0.02
WWE SmackDown vs. Raw 2010;PS3;2009.00;Fighting;THQ;0.48;0.49;0.01;0.2
Stranger of Sword City;PSV;2015.00;Role-Playing;Nippon Ichi Software;0.02;0.02;0;0.01
Pro Evolution Soccer 2010;PSP;2009.00;Sports;Konami Digital Entertainment;0.09;0.33;0.2;0.18
Go, Diego, Go!: Great Dinosaur Rescue;PS2;2008.00;Action;Take-Two Interactive;0.16;0.12;0;0.04
Juiced 2: Hot Import Nights;PSP;2007.00;Racing;THQ;0.06;0.2;0;0.11
Ehrgeiz;PS;1998.00;Fighting;SquareSoft;0.17;0.12;0;0.02
F1 2016 (Codemasters);XOne;2016.00;Racing;Codemasters;0.01;0.07;0;0.01
Star Trek: The Game;X360;2013.00;Action;Namco Bandai Games;0.12;0.09;0;0.02
Marvel: Ultimate Alliance;PS2;2006.00;Role-Playing;Activision;0.69;0.03;0;0.11
Zumba Fitness: World Party;XOne;2013.00;Misc;Majesco Entertainment;0.17;0.05;0;0.02
Pro Evolution Soccer 2012;PC;2011.00;Action;Konami Digital Entertainment;0;0.07;0;0.02
Mini-Yonku Shining Scorpion: Let's & Go!!;SNES;1996.00;Racing;ASCII Entertainment;0;0;0.9;0
Worms World Party;GBA;2002.00;Strategy;Ubisoft;0.04;0.01;0;0
NHL Breakaway 98;PS;1996.00;Sports;Acclaim Entertainment;0.08;0.05;0;0.01
Major League Baseball 2K7;PS3;2007.00;Sports;Spike;0.23;0;0;0.02
Watch Dogs;X360;2014.00;Action;Ubisoft;0.72;0.45;0.01;0.11
1701 A.D.;PC;2006.00;Simulation;Deep Silver;0;0.25;0;0.05
Marvel: Ultimate Alliance;Wii;2006.00;Role-Playing;Activision;0.37;0.01;0;0.03
Raven Squad: Operation Hidden Dagger;X360;2009.00;Shooter;Evolved Games;0.08;0.01;0;0.01
Power Rangers: Wild Force;GBA;2002.00;Action;THQ;0.15;0.05;0;0
Winter Stars;X360;2011.00;Sports;Deep Silver;0.05;0.04;0;0.01
Lord of the Rings: The Third Age;XB;2004.00;Role-Playing;Electronic Arts;0.31;0.09;0;0.01
G.I. Joe: The Rise of Cobra;PSP;2009.00;Action;Electronic Arts;0.11;0.02;0;0.02
Aquapazza: Aquaplus Dream Match;PS3;2012.00;Fighting;Aqua Plus;0.05;0;0.05;0.01
Just Dance;Wii;2009.00;Misc;Ubisoft;3.51;3.03;0;0.73
Capcom vs. SNK 2 EO;XB;2003.00;Fighting;Capcom;0.08;0.02;0;0
Inazuma Eleven GO 3: Galaxy;3DS;2013.00;Sports;Level 5;0;0;0.26;0
3rd Super Robot Wars Z Jigoku Hen;PSV;2014.00;Role-Playing;Namco Bandai Games;0;0;0.19;0
Capcom Classics Collection Reloaded;PSP;2006.00;Misc;Capcom;0.26;0;0.03;0.03
Disney's A Christmas Carol;DS;2009.00;Adventure;Disney Interactive Studios;0.22;0.01;0;0.02
Re-Volt;N64;1999.00;Racing;Acclaim Entertainment;0.14;0.04;0;0
SimCity;PC;1988.00;Simulation;Maxis;0;0.02;0;0.01
NBA Live 06 (All region sales);PS2;2005.00;Sports;Electronic Arts;1.44;0.15;0;0.05
Thunder Force V: Perfect System;PS;1998.00;Shooter;TechnoSoft;0.03;0.02;0;0
Shiren the Wanderer;Wii;2008.00;Role-Playing;Sega;0.08;0;0.11;0.01
Act of Aggression;PC;2015.00;Strategy;Focus Home Interactive;0;0.01;0;0
Anno 2070;PC;2011.00;Strategy;Ubisoft;0;1.13;0;0.32
NFL Blitz Pro;XB;2003.00;Sports;Midway Games;0.04;0.01;0;0
Squeeballs Party;DS;2009.00;Puzzle;Performance Designed Products;0.16;0;0;0.01
Wedding Planner: Dream Weddings Guaranteed;DS;2010.00;Simulation;DTP Entertainment;0;0.01;0;0
Music Maker;PS2;2001.00;Misc;Magix;0.15;0.12;0;0.04
Walt Disney Pictures Presents: The Wild;GBA;2006.00;Platform;Disney Interactive Studios;0.09;0.03;0;0
Club Penguin: Game Day!;Wii;2010.00;Sports;Disney Interactive Studios;0.56;0.33;0;0.08
Eragon;X360;2006.00;Action;Vivendi Games;0.12;0.01;0;0.01
Magna Carta: Tears of Blood;PS2;2004.00;Role-Playing;505 Games;0.11;0.08;0;0.03
Tiger Woods PGA Tour 08;Wii;2007.00;Sports;Electronic Arts;0.94;0.02;0;0.08
High School Musical: Sing It!;Wii;2007.00;Misc;Disney Interactive Studios;1.16;0.45;0;0.16
Sega Rally Revo;X360;2007.00;Racing;Sega;0.12;0.28;0;0.05
Battlestations: Midway;PC;2007.00;Strategy;Eidos Interactive;0;0.01;0;0
Need for Speed: Most Wanted 5-1-0;PSP;2005.00;Racing;Electronic Arts;1.77;0.13;0.02;0.18
We Sing Robbie Williams;Wii;2010.00;Misc;Nordic Games;0;0.19;0;0.03
WordJong;DS;2007.00;Puzzle;White Park Bay Software;0.13;0.01;0;0.01
Green Day: Rock Band;PS3;2010.00;Misc;MTV Games;0.19;0.16;0;0.07
Bleach: Versus Crusade;Wii;2008.00;Fighting;Sega;0;0;0.06;0
Tom Clancy's Ghost Recon 2: Summit Strike;XB;2005.00;Shooter;Ubisoft;0.29;0.08;0;0.01
Life is Strange;PC;2016.00;Adventure;Square Enix;0.01;0.03;0;0
Spider-Man 2;GC;2004.00;Action;Activision;0.65;0.17;0;0.02
The Chase: Felix Meets Felicity;DS;2009.00;Action;Atari;0.04;0;0;0
Die Hard Trilogy 2: Viva Las Vegas;PS;1999.00;Action;Fox Interactive;0.27;0.18;0;0.03
Spider-Man 3;PC;2007.00;Platform;Activision;0.02;0;0;0
Hasbro Family Game Night 3;Wii;2010.00;Misc;Electronic Arts;0.47;0.28;0;0.07
Diablo II;PC;2000.00;Role-Playing;Havas Interactive;0.01;0.09;0;0.02
Madden NFL 13;PSV;2012.00;Sports;Electronic Arts;0.3;0;0;0.03
Covert Ops: Nuclear Dawn;PS;2000.00;Action;Sony Computer Entertainment;0.13;0.09;0;0.02
Shadow Hearts: From The New World;PS2;2005.00;Role-Playing;Ghostlight;0.07;0.06;0;0.02
Fire ProWrestling;GBA;2001.00;Fighting;Spike;0.09;0.03;0;0
Tenka-bito;PS2;2006.00;Strategy;Sega;0;0;0.03;0
Sonic the Hedgehog 2 (8-bit);GG;1992.00;Platform;Sega;0;0;0.04;0
Imagine: Babysitters;DS;2008.00;Simulation;Ubisoft;0.63;0.36;0;0.1
Need for Speed: Hot Pursuit;Wii;2010.00;Racing;Electronic Arts;0.18;0.24;0;0.05
LEGO Jurassic World;3DS;2015.00;Action;Warner Bros. Interactive Entertainment;0.31;0.22;0.03;0.05
Gauntlet: Dark Legacy;XB;2002.00;Action;Midway Games;0.13;0.04;0;0.01
Porky's;2600;1982.00;Action;20th Century Fox Video Games;0.23;0.01;0;0
Street Fighter IV;PS3;2009.00;Fighting;Capcom;2.02;1.06;0.58;0.53
SingStar Amped;PS2;2007.00;Misc;Sony Computer Entertainment;0.23;0.18;0;0.06
Disney Sing It: Family Hits;PS3;2010.00;Misc;Disney Interactive Studios;0.11;0.04;0;0.02
Sonic & All-Stars Racing Transformed;PS3;2012.00;Racing;Sega;0.08;0.33;0.01;0.11
MLB 13: The Show;PSV;2013.00;Sports;Sony Computer Entertainment;0.11;0;0;0.02
Far Cry;PC;2004.00;Shooter;Ubisoft;0;0.04;0;0.01
Order Up!!;PS3;2011.00;Action;Funbox Media;0.04;0.01;0;0.01
Hatsune Miku: Project Diva 2nd;PSP;2010.00;Misc;Sega;0;0;0.41;0
Making History: The Great War;PSP;2010.00;Strategy;Namco Bandai Games;0;0;0.12;0
WRC 5: FIA World Rally Championship;PSV;2015.00;Sports;Bigben Interactive;0;0.06;0;0.02
Samurai Warriors 2;PS3;2013.00;Action;Tecmo Koei;0;0;0.03;0
Tiger Woods PGA Tour 06;PS2;2005.00;Sports;Electronic Arts;0.74;0.03;0;0.12
Frontier Gate;PSP;2011.00;Role-Playing;Konami Digital Entertainment;0;0;0.11;0
Aidyn Chronicles: The First Mage;N64;2001.00;Role-Playing;THQ;0.08;0.02;0;0
Project CARS;PC;2015.00;Racing;Slightly Mad Studios;0;0.1;0;0.01
Remember Me;X360;2013.00;Action;Capcom;0.1;0.07;0;0.02
Rugby Challenge 3;XOne;2016.00;Sports;Alternative Software;0;0.01;0;0
Music Maker: Rockstar;PS2;2009.00;Misc;Magix;0.02;0.01;0;0
G1 Jockey 2;PS2;2000.00;Sports;Tecmo Koei;0;0;0.06;0
Disney's Chicken Little;GC;2005.00;Platform;Disney Interactive Studios;0.21;0.05;0;0.01
LEGO The Lord of the Rings;DS;2012.00;Action;Warner Bros. Interactive Entertainment;0;0.14;0;0.02
Call of Duty: Finest Hour;PS2;2004.00;Shooter;Activision;1.51;1.12;0.01;0.24
Superman: Countdown to Apokolips;GBA;2003.00;Platform;Atari;0.03;0.01;0;0
Meikyuu Cross Blood: Reloaded;X360;2011.00;Action;Unknown;0;0;0.02;0
Triple Play 97;PS;1996.00;Sports;Electronic Arts Victor;0.21;0.15;0;0.03
Cruis'n World;N64;1998.00;Racing;Nintendo;0.59;0.04;0;0.01
NBA Live 2000;N64;1999.00;Sports;Electronic Arts;0.42;0.02;0;0
Surf's Up;PS2;2007.00;Sports;Ubisoft;0.14;0.11;0;0.04
Reader Rabbit Kindergarten;DS;2008.00;Misc;Nordic Games;0.25;0;0;0.02
SSX On Tour;XB;2005.00;Sports;Electronic Arts;0.11;0.03;0;0.01
Silpheed: The Lost Planet;PS2;2000.00;Shooter;Swing! Entertainment;0.03;0.03;0;0.01
The Heavy Rain and Beyond: Two Souls Collection;PS4;2016.00;Action;Sony Computer Entertainment;0;0.16;0;0.03
Choro Q2;PS;1997.00;Racing;Takara;0;0;0.23;0.02
pro evolution soccer 2011;PS2;2010.00;Sports;Konami Digital Entertainment;0.04;0.21;0.05;0.11
Jewel Link: Galactic Quest;DS;2012.00;Action;Avanquest Software;0;0.02;0;0
GRID Autosport;PS3;2014.00;Racing;Codemasters;0.05;0.11;0.01;0.04
Peppa Pig: The Game;Wii;2009.00;Misc;Pinnacle;0;0.35;0;0.03
Build-A-Bear Workshop;DS;2007.00;Simulation;Game Factory;0.85;0.01;0;0.07
Sacred 3;PC;2014.00;Role-Playing;Deep Silver;0;0.02;0;0
3rd Super Robot Wars Z Jigoku Hen;PS3;2014.00;Role-Playing;Namco Bandai Games;0;0;0.23;0
Rage;PS3;2011.00;Shooter;Bethesda Softworks;0.47;0.59;0.06;0.21
K-1 Revenge;PS;1997.00;Fighting;Xing Entertainment;0.04;0.03;0.16;0.02
Teenage Mutant Ninja Turtles 3: Mutant Nightmare;DS;2005.00;Action;Konami Digital Entertainment;0.05;0;0;0
WWF No Mercy;N64;2000.00;Fighting;THQ;1.2;0.27;0.02;0.02
NCAA Gamebreaker 99;PS;1998.00;Sports;989 Studios;0.25;0.17;0;0.03
Monster House;PS2;2006.00;Adventure;THQ;0.07;0.05;0;0.02
Need for Speed Rivals;XOne;2013.00;Racing;Electronic Arts;0.45;0.17;0;0.05
Ultimate Party Challenge;Wii;2009.00;Misc;Konami Digital Entertainment;0.07;0;0;0.01
Close Combat: First to Fight;XB;2005.00;Shooter;Take-Two Interactive;0.14;0.04;0;0.01
Yamaha Supercross;Wii;2009.00;Racing;Zoo Digital Publishing;0.05;0.01;0;0.01
Foto Frenzy: Spot The Diffrence;DS;2009.00;Puzzle;Storm City Games;0.29;0;0;0.02
The Godfather (US sales);XB;2006.00;Action;Electronic Arts;0.33;0.1;0;0.02
Worms Forts: Under Siege;PS2;2004.00;Strategy;Acclaim Entertainment;0.05;0.04;0;0.01
LEGO Soccer Mania;PS2;2002.00;Sports;Electronic Arts;0.04;0.03;0;0.01
LEGO Bionicle;GBA;2001.00;Platform;LEGO Media;0.04;0.02;0;0
X-Men Legends II: Rise of Apocalypse;PS2;2005.00;Role-Playing;Activision;0.53;0.02;0;0.09
Ridge Racer 6;X360;2005.00;Racing;Namco Bandai Games;0.1;0.02;0.07;0.01
Arcade Zone;Wii;2009.00;Misc;Activision;0.14;0;0;0.01
IndyCar Series;XB;2003.00;Racing;Codemasters;0.04;0.01;0;0
Kiniro no Corda 3;3DS;2015.00;Adventure;Tecmo Koei;0;0;0.01;0
Max Payne;PS2;2001.00;Shooter;Take-Two Interactive;1.99;1.05;0.05;0.22
Jikkyou Powerful Pro Yakyuu 9 Ketteiban;PS2;2002.00;Sports;Konami Digital Entertainment;0;0;0.09;0
Pocket Monsters Stadium;N64;1998.00;Strategy;Nintendo;0;0;1.37;0
MySims SkyHeroes;DS;2010.00;Action;Electronic Arts;0.22;0.08;0;0.03
Major League Baseball 2K11;PC;2011.00;Sports;Take-Two Interactive;0.06;0.01;0;0.01
Tales of the Abyss;3DS;2011.00;Role-Playing;Namco Bandai Games;0.42;0.19;0.14;0.06
SpongeBob SquarePants: The Yellow Avenger;DS;2005.00;Action;THQ;0.32;0;0;0.02
Triple Play 2002;XB;2002.00;Sports;Electronic Arts;0.19;0.05;0;0.01
Shin Sangoku Musou Online: Kamishou Ranbu;PS3;2010.00;Action;Tecmo Koei;0;0;0.03;0
NeoGeo Battle Coliseum;PS2;2005.00;Fighting;Ignition Entertainment;0.16;0.13;0;0.04
Tetrisphere;N64;1997.00;Puzzle;Nintendo;0.29;0.06;0;0
Farming Simulator 2011;PC;2010.00;Simulation;N/A;0;0.13;0;0
Teenage Mutant Ninja Turtles: Smash-Up;PS2;2009.00;Fighting;Ubisoft;0.11;0.08;0;0.03
Uta no Prince-Sama: Debut;PSP;2012.00;Adventure;Broccoli;0;0;0.09;0
Gravity Games Bike: Street Vert Dirt;PS2;2002.00;Sports;Midway Games;0.05;0.04;0;0.01
Detective Opera: Milky Holmes 2;PSP;2012.00;Adventure;BushiRoad;0;0;0.03;0
Virtua Tennis: World Tour (jp sales);PSP;2005.00;Sports;Sega;0;0;0.02;0
Call of Duty Black Ops: Declassified;PSV;2012.00;Action;Activision;0.8;0.52;0.07;0.3
Pursuit Force;PSP;2005.00;Racing;Sony Computer Entertainment;0.14;0.01;0;0.02
Atelier Sophie: The Alchemist of the Mysterious Book;PS4;2015.00;Role-Playing;Tecmo Koei;0.01;0.02;0.06;0.01
Toukiden 2;PS4;2016.00;Action;Tecmo Koei;0;0;0.08;0
Alien Hominid;PS2;2004.00;Shooter;Zoo Digital Publishing;0.05;0.04;0;0.01
Final Fantasy XIV: Heavensward;PS4;2015.00;Action;Square Enix;0;0.05;0.06;0.01
XGRA: Extreme G Racing Association;PS2;2003.00;Racing;Acclaim Entertainment;0.03;0.02;0;0.01
Starcraft 64;N64;2000.00;Strategy;Nintendo;0.13;0.03;0;0
Disney's American Dragon Jake Long: Attack of the Dark Dragon;DS;2006.00;Action;Disney Interactive Studios;0.15;0;0;0.01
Moshi Monsters: Katsuma Unleashed;3DS;2013.00;Action;Activision;0.03;0.04;0;0
GachiTora! Abarenbou Kyoushi in High School;PSP;2011.00;Action;Spike;0;0;0.05;0
Pirates: Legend of the Black Buccaneer;PS2;2006.00;Adventure;10TACLE Studios;0.01;0.01;0;0
Parasite Eve;PS;1998.00;Role-Playing;SquareSoft;0.94;0.07;1.05;0.04
Bomberman II;NES;1991.00;Puzzle;Hudson Soft;0.16;0.03;0.15;0.1
007: Quantum of Solace;Wii;2008.00;Action;Activision;0.3;0.29;0.01;0.07
No Fate! Only the Power of Will;X360;2010.00;Adventure;Alchemist;0;0;0.01;0
Juiced: Eliminator;PSP;2006.00;Racing;THQ;0.11;0.2;0;0.12
Mahou Shoujo Lyrical Nanoha A's Portable: The Gears of Destiny;PSP;2011.00;Fighting;Namco Bandai Games;0;0;0.12;0
ef - a fairy tale of the two.;PS2;2010.00;Adventure;Comfort;0;0;0.01;0
Buzz! Junior: Jungle Party;PS2;2006.00;Misc;Sony Computer Entertainment;0.2;0.16;0;0.05
The Cheetah Girls: Passport to Stardom;DS;2008.00;Misc;Disney Interactive Studios;0.18;0;0;0.01
Hot Wheels: Beat That!;PS2;2007.00;Racing;Activision;0.2;0.15;0;0.05
EverBlue 2;PS2;2002.00;Adventure;Capcom;0.02;0.01;0;0
Ghostbusters: The Video Game;PS2;2009.00;Action;Atari;0.15;0.04;0;0.24
Okashi na Shima no Peter Pan: Sweet Never Land;PSP;2011.00;Adventure;Quinrose;0;0;0.02;0
Dr. Mario 64;N64;2001.00;Puzzle;Nintendo;0.34;0.07;0;0
Hakuouki: Bakumatsu Musou Roku;PSP;2012.00;Action;Idea Factory;0;0;0.05;0
F1 2002;GBA;2002.00;Racing;Destination Software, Inc;0.01;0.01;0;0
Jig-A-Pix: Pets;DS;2009.00;Puzzle;Zushi Games;0.03;0;0;0
Vanguard Bandits;PS;1998.00;Strategy;Human Entertainment;0.04;0.03;0;0
Enkaku Sousa: Sana e no 23 Hiai;PSP;2009.00;Adventure;Sony Computer Entertainment;0;0;0.02;0
Maximum Racing: Crash Car Racer;Wii;2010.00;Racing;Nordic Games;0.01;0.01;0;0
Bratz: Rock Angelz;GBA;2004.00;Misc;THQ;0.39;0.14;0;0.01
Chuck E. Cheese's Playhouse;DS;2010.00;Misc;UFO Interactive;0.06;0;0;0
SpongeBob SquarePants: The Yellow Avenger;PSP;2006.00;Action;THQ;0.55;0.21;0;0.16
Tales of the World: Radiant Mythology 2;PSP;2009.00;Role-Playing;Namco Bandai Games;0;0;0.33;0
Pro Evolution Soccer 2008;PC;2007.00;Sports;Konami Digital Entertainment;0;0.01;0;0
Dora the Explorer: Dora Puppy;DS;2009.00;Misc;Take-Two Interactive;0.39;0.01;0;0.03
Constantine;PS2;2005.00;Action;SCi;0.05;0.04;0;0.01
Bubble Bobble also featuring Rainbow Islands;PS;1995.00;Puzzle;Acclaim Entertainment;0.04;0.02;0;0
Mr. Driller: Drill Spirits;DS;2004.00;Puzzle;Nintendo;0.08;0;0.05;0.01
NHL 2004;PS2;2003.00;Sports;Electronic Arts;0.47;0.37;0;0.12
Tales of Phantasia;SNES;1995.00;Role-Playing;Namco Bandai Games;0;0;0.4;0
Classic Road;SNES;1993.00;Sports;Victor Interactive;0;0;0.11;0
Digimon Battle Spirit 2;GBA;2003.00;Fighting;Namco Bandai Games;0.11;0.04;0;0
Evolution Snowboarding;PS2;2002.00;Sports;Konami Digital Entertainment;0.01;0.01;0;0
Aa Megami-samaa;PS2;2007.00;Adventure;Marvelous Interactive;0;0;0.01;0
Mega Man Anniversary Collection;PS2;2004.00;Platform;Capcom;0.29;0.22;0;0.08
FIFA Soccer 06;DS;2005.00;Sports;Electronic Arts;0.05;0;0;0
Tiger Woods PGA Tour 2000;PS;1998.00;Sports;Electronic Arts;0.37;0.25;0;0.04
Sly Cooper: Thieves in Time;PSV;2013.00;Platform;Sony Computer Entertainment Europe;0.16;0.06;0;0.05
Shadow of Destiny;PSP;2009.00;Adventure;Konami Digital Entertainment;0.07;0;0;0.01
Densha De Go! 64;N64;1999.00;Simulation;Taito;0;0;0.05;0.07
Survivor;Wii;2010.00;Adventure;Valcon Games;0.01;0;0;0
The Professor's Brain Trainer: Logic;DS;2005.00;Puzzle;505 Games;0.02;0;0;0
Reload: Target Down;Wii;2010.00;Shooter;Mastiff;0.25;0;0;0.02
The Oregon Trail;3DS;2011.00;Simulation;Crave Entertainment;0.12;0;0;0.01
Sid Meier's Pirates!;PSP;2007.00;Strategy;Take-Two Interactive;0.16;0.01;0;0.02
Smurf: Rescue In Gargamel's Castle;2600;1981.00;Action;Coleco;0.55;0.03;0;0.01
Atari Anthology;PS2;2004.00;Misc;Atari;0.33;0.01;0;0.05
NBA 09: The Inside;PS3;2008.00;Sports;Sony Computer Entertainment;0.14;0;0;0.01
Puss in Boots;X360;2011.00;Action;THQ;0.2;0.02;0;0.02
Matchbox Cross Town Heroes;GBA;2002.00;Racing;THQ;0.12;0.04;0;0
Mega Man 4;NES;1991.00;Platform;Capcom;0.51;0.09;0.32;0.01
Left 4 Dead 2;PC;2009.00;Shooter;Valve Software;0;0.32;0;0.04
War Gods;PS;1996.00;Fighting;GT Interactive;0.01;0.01;0;0
The Simpsons: Road Rage;PS2;2001.00;Racing;Electronic Arts;2.02;1.17;0;0.42
Renai Revenge;PSV;2015.00;Adventure;TGL;0;0;0.03;0
Zelda II: The Adventure of Link;NES;1987.00;Adventure;Nintendo;2.19;0.5;1.61;0.08
Plants vs. Zombies: Garden Warfare 2;PS4;2016.00;Shooter;Electronic Arts;0.17;0.21;0;0.07
